,n_trials,a_true,v_true,t0_true,a_rec,v_rec,t0_rec,a_bias,v_bias,t0_bias,a_squared_error,v_squared_error,t0_squared_error
336,10,0.9968795871841579,0.8527635753693805,0.4137604489233012,0.7580508066915755,1.8287618044629634,0.4541162560075075,-0.23882878049258238,0.9759982290935829,0.040355807084206274,0.0570391863915741,0.9525725431938099,0.0016285911654176732
337,10,0.673773373926974,1.6975214743647624,0.2221056358945738,0.7004011592724044,0.5789041076536371,0.16060841485561242,0.02662778534543042,-1.1186173667111254,-0.06149722103896138,0.0007090389524023191,1.2513048131077324,0.0037819081955148743
338,10,0.7789388939421766,0.5599212258203184,0.3081978208272118,0.3583260244918222,3.8688073607992406,0.4480115724111205,-0.4206128694503544,3.308886134978922,0.13981375158390869,0.17691518594726088,10.94872745425575,0.019547885131966928
339,10,1.9293043990773038,1.226035883063652,0.23800774612745582,1.098255783678664,2.000649220326893,0.53809082256286,-0.8310486153986398,0.7746133372632409,0.3000830764354042,0.6906418011559964,0.6000258222660954,0.09004985276293664
340,10,1.0358894139247192,0.6973215196325405,0.2064851763121665,0.8032120732312039,1.0548868581850979,0.28760456798873424,-0.2326773406935153,0.35756533855255734,0.08111939167656773,0.0541387448722062,0.12785297133420495,0.006580355705976406
341,10,0.7968253757419899,0.6535994029271832,0.2981683352318649,0.6494139431409098,1.3047115315837263,0.330831354932102,-0.14741143260108003,0.6511121286565431,0.03266301970023705,0.02173013046150276,0.42394700408365477,0.0010668728559380736
342,10,0.9828533285254004,1.251584508305657,0.4989200147406746,0.611573181991935,3.5927418697133047,0.6848955611250762,-0.3712801465334654,2.3411573614076477,0.1859755463844016,0.13784894720991156,5.481017790873219,0.03458690385297672
343,10,1.2773737478736251,1.3823908028086056,0.15740843472479737,1.4631795049645118,0.5790799129651245,0.023228603476118326,0.18580575709088665,-0.8033108898434811,-0.13417983124867905,0.034523779368117576,0.6453083857411254,0.018004227113923986
344,10,1.2142936423668318,0.6761227216011063,0.44125034528501983,2.5581328480015446,0.15850041112013405,-0.5041481790490854,1.3438392056347128,-0.5176223104809723,-0.9453985243341052,1.805903810600936,0.26793285630766006,0.8937783698131038
345,10,0.6195898200738748,1.8683005709010223,0.317996758481917,0.2402114655193753,9.14704288817135,0.4125192253684457,-0.3793783545544994,7.2787423172703285,0.09452246688652871,0.14392793590447947,52.98008972122183,0.008934496746314916
346,10,1.9907117796010059,0.6644134230236947,0.4506323389776594,3.3364437448600226,0.253952389184596,-1.2079474103412937,1.3457319652590167,-0.41046103383909865,-1.6585797493189531,1.8109945223198953,0.1684782603002617,2.7508867848509215
347,10,0.5901544031122352,1.2065770506252746,0.35573807347477326,0.29474860490052013,4.703311018512795,0.4973290303014791,-0.2954057982117151,3.4967339678875202,0.14159095682670586,0.08726458561710053,12.227148442178402,0.020047999055102083
348,10,0.9210495624303034,1.323260017786342,0.2224616418490788,0.34872397549292905,3.9753342429648924,0.4787818849835799,-0.5723255869373745,2.6520742251785503,0.2563202431345011,0.32755657746321015,7.033497695856408,0.06570006704052975
349,10,1.26256842688172,1.591698083001008,0.3765989149141714,0.6832614201340284,3.215789026848922,0.4768231046941799,-0.5793070067476918,1.6240909438479143,0.10022418978000847,0.33559660806697017,2.6376713938888092,0.010044888217059154
350,10,1.819460336359217,0.6643633994879258,0.3280850322723087,1.2389045069104863,1.1189678892822479,1.0160160982134778,-0.5805558294487307,0.4546044897943221,0.6879310659411692,0.33704507110690374,0.20666524214115592,0.47324915148695323
351,10,0.7818888455559209,0.630118281250984,0.23100545510562398,0.8279136733051996,1.0234132950173636,0.22901385274177952,0.04602482774927874,0.39329501376637954,-0.0019916023638444635,0.002118284769350778,0.15468096785349666,3.966479975670855e-06
352,10,1.414907605360954,1.6589413690086177,0.12093248457332662,0.5222107030282949,2.6546647800988814,0.47216523198862737,-0.8926969023326591,0.9957234110902637,0.35123274741530075,0.796907759434325,0.9914651113932303,0.12336444285690046
